property_area,Area_Rank
agric,1
akute-ajuwon,2
ikorodu,3
odongunyan,4
igbogbo,5
ipakodo,6
ijede,7
isawo,8
maya,9
abule-oja,10
lakowe,11
abule-ijesha,12
tejuosho,13
jumofak,14
oworonshoki,15
lawanson,16
ebute,17
orile-iganmu,18
jibowu,19
ijesha,20
alausa-ikeja,21
okun-ajah,22
itire,23
iwaya,24
oba-akran,25
coker,26
abijo,27
randle-avenue,28
awoyaya,29
idi-araba,30
ojuelegba,31
ogombo,32
ebute-metta,33
akoka,34
western-avenue,35
abraham-adesanya,36
new-garage,37
kilo-marsha,38
badore,39
fola-agoro,40
aguda,41
iponri,42
mangoro,43
ado,44
alaka-estate,45
sangotedo,46
soluyi,47
graceland-estate,48
balogun,49
off-lekki-epe-expressway,50
adekunle,51
unity-road,52
phase-1,53
adelabu,54
olokonla,55
canaan-estate,56
gbagada,57
alaka-iponri,58
akodo,59
ilaje,60
ifako-gbagada,61
thomas-estate,62
abraham-adesanya-estate,63
central-surulere,64
masha,65
toyin-street,66
oregun,67
onike,68
awolowo-way,69
obafemi-awolowo-way,70
omole,71
eden-garden-estate,72
alagomeji,73
medina,74
sabo,75
peninsula-estate,76
phase-2,77
bode-thomas,78
agidingbi,79
gbaja,80
eric-moore,81
adeniran-ogunsanya,82
ajiwe,83
atunrase-medina,84
allen-avenue,85
lekki-gardens-estate,86
yaba,87
millenuim-ups,88
crown-estate,89
airport-road(ikeja),90
maryland,91
alausa,92
adeniyi-jones,93
opebi,94
ikeja,95
lekki-phase-1,96
mobolaji-bank-anthony-way,97
ikeja-g.r.a,98
ikeja-gra,99
